[23:43:09 | Senses] -  [Senses] - Booting up...
[23:43:09 | Senses] -  [Senses] - Configuration files path set to: 
 "/Users/nickthesing/Documents/private/senses/senses-smart-mirror/src/config"
[23:43:09 | Senses] -  [App] Sarting the Smart Mirror Class.
[23:43:09 | Senses] -  [Config] - Using Saved config file
[23:43:09 | Senses] -  [Profiles] - Loading profiles...
[23:43:09 | Senses] -  [Profiles] - Found 1 profile(s)
[23:43:09 | Senses] -  [Profiles] - Active profile: Default
[23:43:09 | Senses] -  [Profiles] - Loading default-profile.json
[23:43:09 | Senses] -  [Widgets] - Load all custom widgets:
[23:43:09 | Senses] -  [Modules] - Loading all installed modules:
[23:43:09 | Senses] -  [Modules] ---> Module: [wallpaper] initiated.
[23:43:09 | Senses] -  [Config] - Saving config...
[23:43:09 | Senses] -  [Widgets] - Load all default widgets:
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: clock
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: weather
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: news-feed
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: spacer
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: calendar
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: voice
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: qr
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: compliments
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: reminders
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: speed-cameras
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: stats
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: travel-time
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: weather-forecast
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: text-clock
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: hue
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: quote
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: notifications
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: version-viewer
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: speech
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: spotify
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: crypto-list
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: crypto-graph
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: rain-radar
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: todos
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: trains
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: flights
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: nest
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: video-player
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: speedtest
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: profile
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: stocks
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: formula1
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: mercedes
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: github-stars
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: text
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: internet-connection
[23:43:09 | Senses] -  [Widgets] ---> Loading widget: reddit
[23:43:09 | Senses] -  [Widgets] - Starting all active widgets..
[23:43:09 | Senses] -  [Widgets] ---> [clock: fadsf1-1] created
[23:43:09 | Senses] -  [Widgets] ---> [qr: 9dc40ea0] created
[23:43:09 | Senses] -  ------> [qr] helper class initiated.
[23:43:09 | Senses] -  ------> [qr] helper started
[23:43:09 | Senses] -  [App] - trigger configuration backup function.
[23:43:09 | Senses] -  [Senses] - Now running on: 192.168.178.60:7011
[23:43:09 | Senses] -  [Config] - Saved config
[23:43:09 | Senses] -  [Config] - Using Saved config file
[23:43:09 | Senses] -  [Modules] - configuration saved.
[23:53:09 | Senses] -  [Backup] - Creating configuration backup..
[23:53:09 | Senses] -  [Backup] - Backup configuration saved!
[23:59:04 | Senses] -  Smart Mirror enabled mode: off
[23:59:04 | Senses] -  [Widget Helper] ------> Widget helper stopped: qr
[23:59:04 | Senses] -  [App] - Turning off/on the monitor. Mode: off
[00:00:04 | Senses] -  Smart Mirror enabled mode: on
[00:00:04 | Senses] -  ------> [qr] helper started
[00:00:04 | Senses] -  [App] - Turning off/on the monitor. Mode: on
[00:02:49 | Senses] -  [App] - New socket opened, id: qas8Juh-3uWjFwSTAAAB
[00:03:09 | Senses] -  [Backup] - Creating configuration backup..
[00:03:09 | Senses] -  [Backup] - Backup configuration saved!
